INT_NO,RUE_1,RUE_2,NO_ARRONDISSEMENT,ARRONDISSEMENT,PERMANENT_OU_TEMPORAIRE,LOC_X,LOC_Y,Longitude,Latitude
1079,"Foucher","Jarry",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294830.666,5045002.194,-73.627668,45.544862
1080,"Gaspé","Jarry",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294625.265,5044539.921,-73.630288,45.5407
1081,"Gounod","Lajeunesse",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295005.355,5044781.863,-73.625426,45.542882
1082,"Gounod","Saint-Denis",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294952.003,5044651.067,-73.626107,45.541705
1084,"Guizot","Lajeunesse",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294518.702,5044978.063,-73.631662,45.544641
1085,"Guizot","Saint-Denis",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294466.403,5044851.063,-73.632329,45.543497
1086,"Jarry","Lajeunesse",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294765.601,5044879.065,-73.628498,45.543754
1087,"Jarry","Normanville",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295212.991,5045493.635,-73.622781,45.54929
1088,"Jarry","Rousselot",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295344.793,5045670.567,-73.621097,45.550884
1089,"Jarry","Saint-Denis",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294711.203,5044749.565,-73.629192,45.542588
1090,"Jarry","Saint-Hubert",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",294934.049,5045174.874,-73.626347,45.546418
1091,"Jean-Talon","Lanaudière",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",296256.595,5045054.551,-73.609408,45.545353
1092,"Jean-Talon","Saint-Denis",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295863.067,5044271.196,-73.614433,45.538299
